symbol,name,exchange,assetType,ipoDate,delistingDate,status
ALIN-P-B,Altera Infrastructure LP 850 Series B,NYSE,Stock,4/21/2015,null,Active
ALIN-P-E,Altera Infrastructure LP 8875 Series E,NYSE,Stock,1/17/2018,null,Active
ALJJ,Alj Regional Holdings Inc,NASDAQ,Stock,4/3/1996,null,Active
ALK,Alaska Air Group Inc,NYSE,Stock,1/2/2001,null,Active
ALKS,Alkermes plc,NASDAQ,Stock,7/16/1991,null,Active
ALL,The Allstate Corp,NYSE,Stock,6/3/1993,null,Active
ALL-P-A,Allstate Corporation The Dep Shs Repstg 11000th Perp Pfd Ser A,NYSE,Stock,9/22/2014,null,Active
ALL-P-A-CL,,NYSE,Stock,12/10/2019,null,Active
ALL-P-B,Allstate Corporation The 5100 FixedtoFloating Rate Subordinated Debentures due 2053,NYSE,Stock,9/22/2014,null,Active
ALL-P-G,Allstate Corporation The Depositary Shares Series G,NYSE,Stock,3/27/2018,null,Active
ALL-P-H,Allstate,NYSE,Stock,8/2/2019,null,Active
ALLE,Allegion PLC,NYSE,Stock,11/18/2013,null,Active
ALLK,Allakos Inc,NASDAQ,Stock,7/19/2018,null,Active
ALLO,Allogene Therapeutics Inc,NASDAQ,Stock,10/11/2018,null,Active
ALLT,Allot Ltd,NASDAQ,Stock,11/16/2006,null,Active
ALLY,Ally Financial Inc,NYSE,Stock,4/10/2014,null,Active
ALLY-P-A,GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities Series 2,NYSE,Stock,9/22/2014,null,Active
ALNA,Allena Pharmaceuticals Inc,NASDAQ,Stock,11/2/2017,null,Active
ALNY,Alnylam Pharmaceuticals Inc,NASDAQ,Stock,6/1/2004,null,Active
ALO,Alio Gold Inc Canada,NYSE,Stock,11/24/2006,null,Active
ALOT,AstroNova Inc,NASDAQ,Stock,9/7/1984,null,Active
ALP-P-Q,Alabama Power Company 500 Class A Preferred Stock Cumulative Par Value 1 Per Share Stated Capital 25 Per Share,NYSE,Stock,9/5/2017,null,Active
ALPN,Alpine Immune Sciences Inc,NASDAQ,Stock,6/17/2015,null,Active
ALRM,Alarmcom,NASDAQ,Stock,6/26/2015,null,Active
ALRN,Aileron Therapeutics Inc,NASDAQ,Stock,3/12/1986,null,Active
ALRS,Alerus Financial Corp,NASDAQ,Stock,1/2/2001,null,Active
ALSK,Alaska Communications Systems Group Inc,NASDAQ,Stock,11/18/1999,null,Active
ALSN,Allison Transmission Holdings Inc,NYSE,Stock,3/15/2012,null,Active
ALT,Altimmune Inc,NASDAQ,Stock,10/6/2005,null,Active
ALTA,Altabancorp Com,NASDAQ,Stock,6/11/2015,null,Active
ALTG,Alta Equipment Group Inc Class A,NYSE,Stock,4/25/2019,null,Active
ALTG-WS,Alta Equipment Group Inc Warrants,NYSE,Stock,4/26/2019,null,Active
ALTL,Pacer Lunt Large Cap Alternator ETF,NYSE ARCA,Stock,9/6/2012,null,Active
ALTM,Kayne Anderson Acquisition Corp,NASDAQ,Stock,5/2/2017,null,Active
ALTR,Altair Engineering Inc,NASDAQ,Stock,11/1/2017,null,Active
ALUS,Alsius Corp,NYSE,Stock,1/4/2010,null,Active
ALUS-U,Allusa Energy Acquisition Corp Unit 1 Shs Cl A & 12 Red Wt,NYSE,Stock,11/26/2019,null,Active
ALUS-WS,Alussa Energy Acquisition Corp Warrants 31102026,NYSE,Stock,1/10/2020,null,Active
